blueWins,blueFirstBlood,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,redKills,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,bluePredWinrate,redPredWinrate
1,0.0,17680.0,-436.0,-107.0,10.0,3.0,6.0,3.0,17787.0,5.0,31.3,30.3,1567.3,1610.9,0.05626963034549408,0.10309253442860596,0.4552098805326419,0.5118449691767636
1,0.0,17634.0,-58.0,-518.0,-44.0,5.0,5.0,2.0,18152.0,4.0,26.8,31.2,1577.7,1583.5,0.06842232423290649,0.1552790529113312,0.5064099055680986,0.4900526611027236
1,0.0,19279.0,1161.0,1673.0,56.0,3.0,5.0,1.0,17606.0,1.0,34.0,28.4,1635.1,1519.0,0.12230007248127568,0.16883305146170574,0.5084260325998633,0.5168304867181116
1,0.0,18445.0,-94.0,483.0,34.0,0.0,0.0,1.0,17962.0,4.0,34.9,31.5,1490.7,1500.1,0.15856487074172504,0.16040106305870985,0.4833111003213096,0.5121393257330621
0,1.0,16251.0,774.0,-1444.0,-53.0,5.0,10.0,2.0,17695.0,5.0,26.0,31.3,1593.6,1516.2,0.17344769267939114,0.2265281468953854,0.4823399761111878,0.5053397720563739
1,1.0,18577.0,1748.0,482.0,-10.0,6.0,10.0,2.0,18095.0,3.0,31.5,32.5,1725.9,1551.1,0.17313360715148587,0.1705726020777966,0.5139210248400049,0.4828314470295985
1,0.0,17920.0,497.0,607.0,26.0,3.0,4.0,2.0,17313.0,4.0,32.9,30.3,1599.0,1549.3,0.16610292341145202,0.08376419424981879,0.4976357847127735,0.502377872384157
1,1.0,18846.0,-652.0,-86.0,-20.0,1.0,2.0,1.0,18932.0,1.0,32.5,34.5,1521.2,1586.4,0.15552065716356606,0.1893452524764436,0.4680766326840417,0.5223698988182335
0,0.0,17624.0,-3082.0,-1879.0,-24.0,1.0,2.0,5.0,19503.0,6.0,32.3,34.7,1493.8,1802.0,0.1410244020294757,0.1725054360956753,0.4839976853156206,0.4985245414969485
0,0.0,18839.0,-618.0,29.0,-11.0,2.0,4.0,2.0,18810.0,4.0,33.0,34.1,1571.3,1633.1,0.17158733993718292,0.1280019328340179,0.4923059136545246,0.4955083500921818
0,0.0,18323.0,-919.0,-854.0,-10.0,0.0,0.0,1.0,19177.0,1.0,33.7,34.7,1477.0,1568.9,0.14165257308528628,0.11676733510509787,0.49502613857567207,0.4982735352649706
0,0.0,18912.0,2007.0,1649.0,40.0,1.0,1.0,2.0,17263.0,3.0,34.3,30.3,1693.6,1492.9,0.14986711766127084,0.19388741241845855,0.5104015687867332,0.4912020443837097
0,0.0,17269.0,-695.0,114.0,-4.0,0.0,0.0,2.0,17155.0,4.0,30.1,30.5,1429.8,1499.3,0.16417008939357333,0.08424740275428848,0.4908736396689232,0.5115631216753013
0,0.0,16844.0,-1280.0,-456.0,-46.0,4.0,9.0,3.0,17300.0,4.0,25.1,29.7,1480.9,1608.9,0.15815414351292584,0.10239188209712492,0.4700043761944966,0.4892766507077199
0,1.0,17348.0,31.0,-427.0,-11.0,2.0,3.0,1.0,17775.0,1.0,30.3,31.4,1512.6,1509.5,0.19845373278569706,0.14056535395022954,0.4906803140501692,0.5101163745564115
0,0.0,18186.0,190.0,911.0,2.0,2.0,4.0,1.0,17275.0,3.0,31.2,31.0,1494.8,1475.8,0.1899009422565837,0.1100748973181928,0.4928669158331739,0.4852323903093145
1,0.0,17672.0,-244.0,548.0,6.0,5.0,4.0,5.0,17124.0,9.0,29.0,28.4,1633.5,1657.9,0.15003624063783522,0.14834501087219135,0.5177154075651154,0.5068542109097114
1,1.0,18812.0,-95.0,170.0,2.0,2.0,2.0,2.0,18642.0,2.0,32.8,32.6,1547.5,1557.0,0.07873882580333412,0.1378835467504228,0.4967273566613117,0.4836181015770344
1,0.0,18882.0,160.0,26.0,1.0,0.0,0.0,0.0,18856.0,0.0,33.1,33.0,1480.8,1464.8,0.15281468953853589,0.21352983812515097,0.5060300809488648,0.4888014085399949
1,0.0,17049.0,-104.0,-145.0,-19.0,2.0,3.0,1.0,17194.0,1.0,27.3,29.2,1462.9,1473.3,0.13181928001932836,0.09664170089393574,0.4882603578532376,0.4698495835127266
1,0.0,18974.0,1528.0,2125.0,18.0,7.0,8.0,4.0,16849.0,6.0,28.1,26.3,1691.3,1538.5,0.19328340178787146,0.11937666102923412,0.4950201120601945,0.4995140151608612
1,0.0,19432.0,2149.0,2726.0,24.0,7.0,5.0,4.0,16706.0,5.0,30.2,27.8,1750.0,1535.1,0.10964000966417008,0.15424015462672142,0.4841303599538626,0.5130984932751446
1,1.0,19685.0,3730.0,2215.0,58.0,7.0,9.0,2.0,17470.0,1.0,33.2,27.4,1836.6,1463.6,0.14290891519690746,0.10983329306595796,0.4737912501379041,0.4863974514787282
0,0.0,17765.0,-2269.0,-1870.0,-54.0,3.0,6.0,7.0,19635.0,13.0,28.4,33.8,1602.4,1829.3,0.05363614399613433,0.13962309736651365,0.5035955496990546,0.4998206313033469
1,1.0,19126.0,1156.0,677.0,40.0,3.0,3.0,2.0,18449.0,3.0,32.9,28.9,1639.3,1523.7,0.16619956511234596,0.15312877506644115,0.4898460151831895,0.5097515013367218
1,0.0,18736.0,1323.0,112.0,12.0,2.0,4.0,1.0,18624.0,2.0,31.8,30.6,1598.3,1466.0,0.15593138439236529,0.19205122010147374,0.4993788388344814,0.4858205324021062
0,0.0,17589.0,-2436.0,-1337.0,-67.0,0.0,0.0,2.0,18926.0,1.0,25.4,32.1,1343.9,1587.5,0.15786421841024406,0.14595312877506644,0.4779853458622031,0.5102022444963775
0,1.0,16855.0,-703.0,-848.0,-26.0,5.0,8.0,5.0,17703.0,11.0,25.4,28.0,1586.6,1656.9,0.06670693404203913,0.07028267697511477,0.4851909857145114,0.4977085151934094
0,0.0,17029.0,-2808.0,-2369.0,-28.0,3.0,6.0,7.0,19398.0,14.0,29.7,32.5,1526.5,1807.3,0.14621889345252476,0.1285817830393815,0.4943529254372584,0.4997982377277734
1,0.0,19670.0,3121.0,2242.0,71.0,7.0,11.0,4.0,17428.0,7.0,34.4,27.3,1836.7,1524.6,0.14725779173713455,0.13703793186760088,0.4758832347614316,0.4806759387223872
0,1.0,17900.0,-583.0,-661.0,-2.0,3.0,5.0,4.0,18561.0,5.0,30.9,31.1,1546.5,1604.8,0.19569944431021985,0.16252718047837642,0.4685449772577255,0.5270367811266499
1,1.0,18410.0,311.0,-332.0,19.0,0.0,0.0,0.0,18742.0,0.0,33.3,31.4,1484.8,1453.7,0.12730128050253686,0.14810340661995652,0.4807726200502333,0.4966424462454511
1,1.0,18271.0,41.0,-310.0,-43.0,3.0,7.0,0.0,18581.0,0.0,29.8,34.1,1556.0,1551.9,0.22094708866876056,0.119521623580575,0.5063512773817065,0.4933062285001468
1,0.0,18086.0,-1161.0,-358.0,20.0,0.0,0.0,3.0,18444.0,2.0,32.0,30.0,1428.7,1544.8,0.2226383184344045,0.11693645808166225,0.5241360251838819,0.4757587896495684
0,0.0,16376.0,-2198.0,-2352.0,-45.0,2.0,3.0,4.0,18728.0,5.0,27.9,32.4,1441.3,1661.1,0.07666102923411452,0.2387774824836917,0.4866418197116652,0.5084210147657282
1,1.0,19515.0,1819.0,1935.0,61.0,3.0,2.0,1.0,17580.0,1.0,33.8,27.7,1594.2,1412.3,0.14943223000724815,0.1393814931142788,0.4758720216870301,0.4819223372380986
