gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT03/1671978,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671978?gameHash=1a0becde059f16ec,LCS,2021,Spring,1,2021-01-15 23:10:17,1,11.01,100,Blue,team,,100 Thieves,,Shen,Nidalee,Lillia,Jhin,Samira,1623,1,11,2,23,11,2,2.0,0.0,0.0,0.0,1.0,,,,0.4067,0.4436,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,1.0,3.0,0.0,47438,1753.7153,,2355.5268,1595.6747,100,3.6969,57,2.1072,37,253.0,9.353,53632,35699,1319.7412,,47860.0,0.30137600000000003,,762.0,183,96,48,34.9353,16687.0,18402.0,328.0,14561.0,17810.0,302.0,2126.0,592.0,26.0,3.0,6.0,1.0,1.0,2.0,4.0,26728.0,29057.0,535.0,22384.0,29003.0,506.0,4344.0,54.0,29.0,3.0,6.0,1.0,1.0,2.0,4.0
ESPORTSTMNT03/1671978,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671978?gameHash=1a0becde059f16ec,LCS,2021,Spring,1,2021-01-15 23:10:17,1,11.01,200,Red,team,,TSM,,Olaf,Pantheon,Aphelios,Camille,Alistar,1623,0,1,12,2,1,12,0.0,0.0,0.0,0.0,0.0,,,,0.037,0.4436,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,35893,1326.9131,,2364.9908,1547.061,90,3.3272,32,1.183,37,162.0,5.9889,39380,21447,792.8651,,35325.0,-0.30137600000000003,,732.0,168,111,12,33.2717,14561.0,17810.0,302.0,16687.0,18402.0,328.0,-2126.0,-592.0,-26.0,1.0,2.0,4.0,3.0,6.0,1.0,22384.0,29003.0,506.0,26728.0,29057.0,535.0,-4344.0,-54.0,-29.0,1.0,2.0,4.0,3.0,6.0,1.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,1,Blue,top,Alphari,Team Liquid,Camille,Taliyah,Renekton,Lillia,Orianna,Jax,1489,1,7,1,2,20,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8059,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15160,610.8798,0.301021,602.5789,628.8919,11,0.4433,1,0.0403,3,18.0,0.7253,12002,8689,350.1276,0.23598000000000002,10475.0,,219.0,215.0,4,0,4,8.8247,3335.0,4550.0,91.0,2957.0,4384.0,76.0,378.0,166.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5887.0,7772.0,145.0,4717.0,6744.0,122.0,1170.0,1028.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,2,Blue,jng,Armao,Team Liquid,Nidalee,Taliyah,Renekton,Lillia,Orianna,Jax,1489,1,2,0,11,20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8059,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7758,312.6125,0.15404500000000002,873.4453,513.9691,17,0.685,7,0.2821,9,49.0,1.9745,10234,6921,278.8852,0.18796300000000002,9375.0,,185.0,21.0,164,91,16,7.4547,3332.0,3895.0,75.0,3193.0,3508.0,67.0,139.0,387.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5479.0,6848.0,114.0,5033.0,5461.0,100.0,446.0,1387.0,14.0,0.0,6.0,0.0,1.0,1.0,1.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,3,Blue,mid,Jensen,Team Liquid,Syndra,Taliyah,Renekton,Lillia,Orianna,Jax,1489,1,3,1,8,20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8059,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10236,412.4647,0.203248,262.9684,167.3069,8,0.3224,2,0.0806,3,18.0,0.7253,11177,7864,316.8838,0.21357399999999999,9385.0,,232.0,217.0,15,1,8,9.3486,3258.0,4459.0,87.0,3565.0,4706.0,82.0,-307.0,-247.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,6193.0,7509.0,143.0,5465.0,6996.0,130.0,728.0,513.0,13.0,2.0,1.0,1.0,0.0,2.0,2.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,4,Blue,bot,Tactical,Team Liquid,Samira,Taliyah,Renekton,Lillia,Orianna,Jax,1489,1,7,1,7,20,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8059,0.9268,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13477,543.0625,0.26760300000000004,484.5534,348.959,12,0.4835,6,0.2418,7,28.0,1.1283,12715,9402,378.8583,0.255345,10675.0,,257.0,233.0,24,20,0,10.3559,3907.0,3202.0,86.0,3475.0,3097.0,82.0,432.0,105.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,6468.0,5710.0,130.0,5633.0,5605.0,138.0,835.0,105.0,-8.0,4.0,2.0,1.0,1.0,1.0,2.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,5,Blue,sup,CoreJJ,Team Liquid,Leona,Taliyah,Renekton,Lillia,Orianna,Jax,1489,1,1,0,14,20,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8059,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3731,150.3425,0.0740836,264.0564,361.5312,29,1.1686,15,0.6044,8,83.0,3.3445,7258,3945,158.9657,0.10713800000000001,6200.0,,43.0,43.0,0,0,0,1.7327,2353.0,2485.0,15.0,2171.0,2224.0,16.0,182.0,261.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,3976.0,4588.0,26.0,3303.0,3447.0,27.0,673.0,1141.0,-1.0,1.0,6.0,0.0,0.0,1.0,2.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,6,Red,top,Solo,Counter Logic Gaming,Malphite,Pantheon,Akali,Olaf,Miss Fortune,Rell,1489,0,1,3,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8371,337.3136,0.365706,665.8428,1049.0934,9,0.3627,3,0.1209,2,17.0,0.685,8069,4756,191.6454,0.21786599999999998,7300.0,,191.0,191.0,0,0,0,7.6964,2957.0,4384.0,76.0,3335.0,4550.0,91.0,-378.0,-166.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4717.0,6744.0,122.0,5887.0,7772.0,145.0,-1170.0,-1028.0,-23.0,0.0,0.0,1.0,1.0,0.0,0.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,7,Red,jng,Griffin,Counter Logic Gaming,Graves,Pantheon,Akali,Olaf,Miss Fortune,Rell,1489,0,1,3,1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3768,151.8334,0.164613,538.7508,298.3076,5,0.2015,8,0.3224,6,26.0,1.0477,7834,4521,182.176,0.20710100000000004,7650.0,,166.0,28.0,138,109,8,6.6891,3193.0,3508.0,67.0,3332.0,3895.0,75.0,-139.0,-387.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,5033.0,5461.0,100.0,5479.0,6848.0,114.0,-446.0,-1387.0,-14.0,1.0,1.0,1.0,0.0,6.0,0.0
ESPORTSTMNT03/1671992,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1671992?gameHash=294bb4f15437f53f,LCS,2021,Spring,1,2021-01-15 23:45:13,1,11.01,8,Red,mid,Pobelter,Counter Logic Gaming,Twisted Fate,Pantheon,Akali,Olaf,Miss Fortune,Rell,1489,0,0,5,3,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209,0.9268,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3396,136.8435,0.148362,544.0698,285.0907,10,0.403,2,0.0806,3,14.0,0.5641,8858,5545,223.4385,0.25401,8125.0,,206.0,202.0,4,4,0,8.3009,3565.0,4706.0,82.0,3258.0,4459.0,87.0,307.0,247.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,5465.0,6996.0,130.0,6193.0,7509.0,143.0,-728.0,-513.0,-13.0,0.0,2.0,2.0,2.0,1.0,1.0
