,blueWins,blueVisionScore,blueFirstBlood,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueCSPerMin,redVisionScore,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redCSPerMin,blueAvgWinrate,redAvgWinrate,blueAvgPickrate,redAvgPickrate,blueHasWukong,redHasWukong,blueHasNautilus,redHasNautilus,blueHasKai'Sa,redHasKai'Sa,blueHasIrelia,redHasIrelia,blueHasSylas,redHasSylas,blueMaxLevel,blueMinLevel,blueSTDLevels,redMaxLevel,redMinLevel,redSTDLevels
0,0,22,0,2,3,0,0,0,6.6,25.7,23,6,5,1,0,0,7.4,29.0,,,,,0,0,0,0,0,0,1,0,0,0,8,6,0.7999999999999999,8,7,0.48989794855663565
1,0,30,0,8,13,1,0,0,7.2,27.8,26,9,12,0,0,0,7.0,27.9,,,,,0,0,0,0,0,0,0,0,0,0,8,6,0.7483314773547882,8,6,0.8944271909999159
2,1,20,1,9,5,1,0,0,7.2,27.7,31,6,8,0,0,0,7.0,25.8,,,,,0,0,0,0,0,0,0,0,0,0,9,6,1.469693845669907,8,6,0.8944271909999159
3,1,20,1,5,2,0,0,0,7.0,26.5,18,1,0,1,0,0,6.4,24.5,,,,,0,0,0,0,0,0,0,0,0,0,9,6,1.0954451150103321,7,6,0.48989794855663565
4,1,25,1,13,15,0,0,0,7.0,21.1,17,7,5,0,0,0,6.8,25.5,,,,,0,0,0,0,0,0,0,0,0,0,8,7,0.6324555320336759,8,6,0.9797958971132712
