gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalGold,blueTotalExperience,blueTotalCS,blueGoldDiff,blueExperienceDiff,blueCsdiffat10,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalGold,redTotalExperience,redTotalCS,redAssists
NA1/3737099991,"[('Gangplank', 'top'), ('Graves', 'jng'), ('Karma', 'mid'), (""Kai'Sa"", 'bot'), ('Leona', 'sup')]",1,1.0,0.0,16201.0,19878.0,340.0,109.0,2423.0,31.0,2.0,3.0,0.0,"[('Lulu', 'top'), ('Kindred', 'jng'), ('Twisted Fate', 'mid'), ('Aphelios', 'bot'), ('Braum', 'sup')]",0.0,16092.0,17455.0,309.0,0.0
NA1/3737120121,"[('Aatrox', 'top'), ('Olaf', 'jng'), ('Orianna', 'mid'), ('Vayne', 'bot'), ('Leona', 'sup')]",1,1.0,0.0,17168.0,18667.0,312.0,1185.0,755.0,14.0,6.0,8.0,4.0,"[('Wukong', 'top'), ('Hecarim', 'jng'), ('Ryze', 'mid'), (""Kai'Sa"", 'bot'), ('Alistar', 'sup')]",0.0,15983.0,17912.0,298.0,6.0
NA1/3737140122,"[('Aatrox', 'top'), ('Lillia', 'jng'), ('Viktor', 'mid'), (""Kai'Sa"", 'bot'), ('Maokai', 'sup')]",0,0.0,0.0,15896.0,18757.0,317.0,-490.0,207.0,-6.0,3.0,8.0,4.0,"[('Ornn', 'top'), ('Graves', 'jng'), ('Orianna', 'mid'), ('Aphelios', 'bot'), ('Leona', 'sup')]",0.0,16386.0,18550.0,323.0,5.0
NA1/3737169983,"[('Akali', 'top'), ('Graves', 'jng'), ('Anivia', 'mid'), ('Miss Fortune', 'bot'), ('Maokai', 'sup')]",1,0.0,0.0,15328.0,19630.0,363.0,58.0,1727.0,63.0,0.0,0.0,2.0,"[('Sion', 'top'), ('Kindred', 'jng'), ('Ekko', 'mid'), ('Jhin', 'bot'), ('Galio', 'sup')]",0.0,15270.0,17903.0,300.0,5.0
NA1/3737100387,"[('Aatrox', 'top'), (""Kha'Zix"", 'jng'), ('Viktor', 'mid'), ('Jhin', 'bot'), ('Pantheon', 'sup')]",1,1.0,0.0,16884.0,18955.0,318.0,2176.0,884.0,6.0,4.0,8.0,1.0,"[('Irelia', 'top'), ('Graves', 'jng'), ('Lissandra', 'mid'), (""Kai'Sa"", 'bot'), ('Alistar', 'sup')]",0.0,14708.0,18071.0,312.0,1.0
NA1/3737170412,"[('Ornn', 'top'), ('Graves', 'jng'), ('Orianna', 'mid'), (""Kai'Sa"", 'bot'), ('Leona', 'sup')]",0,1.0,0.0,16973.0,18412.0,297.0,887.0,-522.0,-36.0,6.0,7.0,3.0,"[('Gragas', 'top'), ('Lillia', 'jng'), ('Lucian', 'mid'), ('Miss Fortune', 'bot'), ('Galio', 'sup')]",0.0,16086.0,18934.0,333.0,5.0
NA1/3737120636,"[('Aatrox', 'top'), ('Olaf', 'jng'), ('Orianna', 'mid'), ('Jhin', 'bot'), ('Leona', 'sup')]",0,0.0,0.0,14534.0,18269.0,298.0,-1520.0,-230.0,-15.0,1.0,2.0,4.0,"[('Darius', 'top'), ('Graves', 'jng'), ('Syndra', 'mid'), (""Kai'Sa"", 'bot'), ('Morgana', 'sup')]",0.0,16054.0,18499.0,313.0,2.0
NA1/3737170792,"[('Kayle', 'top'), ('Olaf', 'jng'), ('Orianna', 'mid'), ('Jhin', 'bot'), ('Pantheon', 'sup')]",1,1.0,0.0,16961.0,20486.0,376.0,2324.0,3048.0,73.0,3.0,0.0,2.0,"[('Sion', 'top'), (""Kha'Zix"", 'jng'), ('Seraphine', 'mid'), ('Miss Fortune', 'bot'), ('Maokai', 'sup')]",0.0,14637.0,17438.0,303.0,2.0
NA1/3737121035,"[('Ornn', 'top'), ('Graves', 'jng'), ('Anivia', 'mid'), ('Lucian', 'bot'), ('Lulu', 'sup')]",0,0.0,0.0,14445.0,18131.0,292.0,-949.0,-636.0,-32.0,0.0,0.0,1.0,"[('Renekton', 'top'), ('Nidalee', 'jng'), ('Xerath', 'mid'), (""Kai'Sa"", 'bot'), ('Braum', 'sup')]",0.0,15394.0,18767.0,324.0,2.0
NA1/3737121483,"[('Jax', 'top'), ('Graves', 'jng'), ('Galio', 'mid'), (""Kai'Sa"", 'bot'), ('Rakan', 'sup')]",1,1.0,0.0,16670.0,20396.0,364.0,1748.0,1430.0,50.0,2.0,4.0,1.0,"[('Ornn', 'top'), ('Kindred', 'jng'), ('Seraphine', 'mid'), ('Aphelios', 'bot'), ('Braum', 'sup')]",0.0,14922.0,18966.0,314.0,1.0
NA1/3737122018,"[('Ornn', 'top'), ('Graves', 'jng'), ('Malphite', 'mid'), ('Senna', 'bot'), ('Braum', 'sup')]",0,1.0,0.0,15342.0,17582.0,277.0,690.0,1055.0,-25.0,3.0,4.0,1.0,"[('Lucian', 'top'), ('Lillia', 'jng'), ('Sylas', 'mid'), ('Jhin', 'bot'), ('Gragas', 'sup')]",0.0,14652.0,16527.0,302.0,1.0
NA1/3737122543,"[('Vladimir', 'top'), ('Graves', 'jng'), ('Yone', 'mid'), ('Miss Fortune', 'bot'), ('Shen', 'sup')]",1,0.0,0.0,15673.0,17680.0,313.0,-436.0,-107.0,10.0,3.0,6.0,3.0,"[('Camille', 'top'), ('Nidalee', 'jng'), ('Twisted Fate', 'mid'), ('Samira', 'bot'), ('Braum', 'sup')]",0.0,16109.0,17787.0,303.0,5.0
