,gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
33550,ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,100,Blue,team,,GamerLegion,,Nunu & Willump,Elise,Senna,Akali,Karthus,1649,1,18,7,45,18,7,2.0,0.0,0.0,0.0,0.0,,,,0.6549,0.9096,1.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,1.0,3.0,0.0,55180.0,2007.7623,,2604.7423,2103.8569,75.0,2.7289,30.0,1.0916,35.0,187.0,6.8041,54017,35819.0,1303.299,,46750.0,0.100935,,712.0,161.0,89.0,21.0,31.7647,16303.0,18802.0,327.0,15071.0,17716.0,275.0,1232.0,1086.0,52.0,3.0,7.0,3.0,3.0,6.0,3.0,27173.0,30372.0,520.0,24042.0,27830.0,457.0,3131.0,2542.0,63.0,5.0,9.0,4.0,4.0,8.0,5.0
33551,ESPORTSTMNT06/1190148,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190148?gameHash=fad4ed6ca4004e60,EM,2020,Spring,0,2020-04-06 15:11:06,1,10.07,200,Red,team,,Vipers Inc,,Heimerdinger,Ziggs,Sett,Cassiopeia,Gragas,1649,0,7,18,13,7,18,0.0,0.0,0.0,0.0,1.0,,,,0.2547,0.9096,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,3.0,39066.0,1421.4433,,3114.8696,2483.4688,75.0,2.7289,25.0,0.9096,36.0,146.0,5.3123,43401,25203.0,917.0285,,42258.0,-0.100935,,677.0,155.0,110.0,9.0,30.2729,15071.0,17716.0,275.0,16303.0,18802.0,327.0,-1232.0,-1086.0,-52.0,3.0,6.0,3.0,3.0,7.0,3.0,24042.0,27830.0,457.0,27173.0,30372.0,520.0,-3131.0,-2542.0,-63.0,4.0,8.0,5.0,5.0,9.0,4.0
33552,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,1,Blue,top,Alois,Defusekids,Gangplank,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,1,2,8,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29143.0,712.2525,0.413253,686.4196,493.7597,19.0,0.4644,5.0,0.1222,5.0,29.0,0.7088,18543,13259.0,324.0489,0.311512,17258.0,,418.0,398.0,20.0,17.0,0.0,10.2159,3099.0,4463.0,72.0,3350.0,4273.0,80.0,-251.0,190.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5605.0,8239.0,140.0,5816.0,7686.0,137.0,-211.0,553.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0
33553,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,2,Blue,jng,Hades,Defusekids,Lee Sin,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,1,5,5,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5842.0,142.778,0.0828406,745.222,700.2037,15.0,0.3666,16.0,0.391,10.0,43.0,1.0509,10604,5320.0,130.0204,0.124993,10475.0,,191.0,37.0,154.0,116.0,0.0,4.668,2738.0,2777.0,55.0,2746.0,2767.0,53.0,-8.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4511.0,4683.0,85.0,4532.0,4184.0,73.0,-21.0,499.0,12.0,1.0,2.0,1.0,1.0,0.0,1.0
33554,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,3,Blue,mid,Chapapi,Defusekids,Azir,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,5,2,3,11,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15745.0,384.8065,0.22326700000000002,405.5316,239.9267,22.0,0.5377,19.0,0.4644,11.0,62.0,1.5153,16329,11045.0,269.9389,0.259496,16425.0,,390.0,354.0,36.0,35.0,0.0,9.5316,3197.0,4864.0,88.0,3390.0,4858.0,96.0,-193.0,6.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5569.0,8260.0,153.0,5748.0,7925.0,153.0,-179.0,335.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
33555,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,4,Blue,bot,Goose,Defusekids,Aphelios,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,2,3,4,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15430.0,377.1079,0.2188,194.7373,254.7862,17.0,0.4155,12.0,0.2933,3.0,55.0,1.3442,15076,9792.0,239.3157,0.23005799999999998,13325.0,,344.0,326.0,18.0,18.0,0.0,8.4073,3104.0,3079.0,78.0,3188.0,3279.0,88.0,-84.0,-200.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4836.0,5137.0,123.0,5453.0,4908.0,135.0,-617.0,229.0,-12.0,0.0,2.0,1.0,0.0,2.0,1.0
33556,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,5,Blue,sup,Nightmares,Defusekids,Thresh,LeBlanc,Syndra,Jax,Sejuani,Cassiopeia,2455,0,2,5,5,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2688,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4361.0,106.5825,0.06183969999999999,378.9165,421.2953,72.0,1.7597,16.0,0.391,23.0,99.0,2.4196,8431,3147.0,76.9124,0.0739404,9025.0,,39.0,39.0,0.0,0.0,0.0,0.9532,2083.0,2145.0,14.0,2010.0,2445.0,14.0,73.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.0,3711.0,20.0,3882.0,4045.0,21.0,-565.0,-334.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0
33557,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,6,Red,top,Werlyb,MAD Lions Madrid,Renekton,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,1,2,4,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5795.0,141.6293,0.0878723,718.4603,682.9491,25.0,0.611,16.0,0.391,11.0,61.0,1.4908,15741,10457.0,255.5682,0.209244,15050.0,,359.0,347.0,12.0,4.0,5.0,8.7739,3350.0,4273.0,80.0,3099.0,4463.0,72.0,251.0,-190.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5816.0,7686.0,137.0,5605.0,8239.0,140.0,211.0,-553.0,-3.0,1.0,1.0,0.0,0.0,3.0,0.0
33558,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,7,Red,jng,Koldo,MAD Lions Madrid,Gragas,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,2,3,6,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10255.0,250.6314,0.155501,574.387,422.8106,37.0,0.9043,12.0,0.2933,18.0,79.0,1.9308,12201,6917.0,169.0509,0.13840999999999998,12000.0,,206.0,34.0,172.0,106.0,11.0,5.0346,2746.0,2767.0,53.0,2738.0,2777.0,55.0,8.0,-10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4532.0,4184.0,73.0,4511.0,4683.0,85.0,21.0,-499.0,-12.0,1.0,0.0,1.0,1.0,2.0,1.0
33559,ESPORTSTMNT06/1190149,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1190149?gameHash=77bb4622bdadd12e,EM,2020,Spring,0,2020-04-06 15:11:43,1,10.07,8,Red,mid,Hatrixx,MAD Lions Madrid,Ekko,Xerath,Kalista,Senna,Aatrox,Olaf,2455,1,6,0,6,17,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155,0.6843,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20430.0,499.3075,0.30979,704.1874,574.3625,13.0,0.3177,12.0,0.2933,6.0,49.0,1.1976,20380,15096.0,368.945,0.30206900000000003,18750.0,,440.0,390.0,50.0,23.0,11.0,10.7536,3390.0,4858.0,96.0,3197.0,4864.0,88.0,193.0,-6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5748.0,7925.0,153.0,5569.0,8260.0,153.0,179.0,-335.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
